Parent,Child,Block,Trial,S1_D1 hbo,S2_D1 hbo,S2_D2 hbo,S3_D2 hbo,S4_D2 hbo,S5_D3 hbo,S6_D3 hbo,S7_D3 hbo,S7_D4 hbo,S8_D4 hbo
1102p,1102c,Block 1,Trial 1,0.3896455275489115,0.42758922228596846,0.32351683338542825,0.3061242614925339,0.41089200454975594,,0.3387042059082138,0.2691234305116168,0.2978013463930806,0.41608745557191307
1102p,1102c,Block 1,Trial 2,0.41498873365044336,0.4151554714676137,0.32410440970313964,0.37533512449229783,,0.29689225853268014,0.3909411967634247,0.3024895668354678,0.4243459376205801,0.2895032539913213
1102p,1102c,Block 1,Trial 3,0.40487502833065814,0.2945644454493577,0.32627805105488106,,0.25813205422241947,0.5164991907751159,0.355111042469004,0.4055350319183521,0.3689697884486572,0.2898152028969637
1102p,1102c,Block 1,Trial 4,0.29037293627394595,0.3504852860707697,0.3894226047957114,,,,0.25814617774743426,0.282452762163811,0.3119645398526263,0.4302610831293319
1102p,1102c,Block 2,Trial 1,0.30630007221170097,0.2770095145241922,0.35070547595367046,0.3335575317063179,0.27887625617091255,0.31108360233728155,0.31287655548785287,0.21274598016843016,0.3357721054053884,0.3398729346057152
1102p,1102c,Block 2,Trial 2,0.41260049681374644,0.36143925718537917,0.4379586473561675,0.43711138701626273,,0.4750443086808215,0.3878879802371709,0.4699858081077833,0.3867527161862545,0.5405293065654305
1102p,1102c,Block 2,Trial 3,0.3119740375923242,0.40733020362019157,0.37808231241008483,,0.42840731435588036,0.47204700810917455,0.3353800078801534,0.3969634016306645,0.42584434230569734,0.475808087656199
1102p,1102c,Block 2,Trial 4,0.2781757505954891,0.338526045499264,0.2450147555218954,,0.4320503551161055,0.3486269885903519,0.2986543012181883,0.29495814783091856,0.35417262365670327,0.4027377538648738
1102p,1102c,Block 3,Trial 1,0.24120234047718223,0.32977488920473974,0.4161948533803288,0.36790317860337207,0.44583897957950863,,0.24844327525028972,0.45750262450077567,0.4211279049441753,0.3495672861968977
1102p,1102c,Block 3,Trial 2,0.21465296209076445,0.4746982967339593,0.42004269308288295,0.332609338550993,0.2166361165925317,,0.38776165306661836,0.3018280262953145,0.36404575439948506,0.27347564893062865
1102p,1102c,Block 3,Trial 3,0.42599621548933153,0.4227165134682627,0.28049688332558753,,,0.20654957178951763,0.23431855509269292,0.39309875611312584,0.22884394785832143,0.3578885404905897
1102p,1102c,Block 3,Trial 4,0.31672375003028225,0.5352058160309511,0.39915646174810904,0.2916437304627047,0.42476505910152423,0.4043113133357977,0.5427733971125901,0.5357194272641771,0.3837908645958362,0.29781209980811085
1104p,1104c,Block 1,Trial 1,0.3956349851039084,0.3011192124379344,0.19774985956960583,,0.30534240059474665,0.2803896153117693,0.23464195718048472,0.25362668943461303,0.39666844749781455,0.29925355009250826
1104p,1104c,Block 1,Trial 2,0.3830505864691611,0.2985555713804775,0.35939726221192064,,,0.3613201922798733,0.3822185963420186,,0.3171395260678255,0.28705031717889135
1104p,1104c,Block 1,Trial 3,0.18436507945869343,0.25804435429809774,0.3684015877694542,,,0.3661173252948083,,0.44056881342389687,0.4024513784714241,0.38135431022907085
1104p,1104c,Block 1,Trial 4,0.36109513878755584,0.3925463434697028,0.21100334584871233,,,0.43369558938594244,0.3931504899770433,0.25645202817121976,0.2910329707872733,0.26191837724804246
