Parent,Child,Block,Trial,S1_D1 hbo,S2_D1 hbo,S2_D2 hbo,S3_D2 hbo,S4_D2 hbo,S5_D3 hbo,S6_D3 hbo,S7_D3 hbo,S7_D4 hbo,S8_D4 hbo
1104p,1104c,Block 2,Trial 1,0.2841080906999304,0.47403552209690764,0.39183479690357415,0.2727817409179504,,0.2902898458008806,0.28343793446925314,0.5432650078109024,0.3466404150087304,0.2587982840988119
1104p,1104c,Block 2,Trial 2,0.24713250855116248,0.43871615579983647,0.4600419339074163,0.32906522859944626,0.49941299175003434,0.45721458046225244,0.32329198993955055,0.5814736959514689,0.41683358088568595,0.3536008274710753
1104p,1104c,Block 2,Trial 3,0.39754111996693137,0.243123507550911,0.36412231735530326,0.39762011008169657,0.28451808777633797,0.2736003629486395,0.3944807214595123,0.3783093432070338,0.3083752972743919,0.36540392041418057
1104p,1104c,Block 2,Trial 4,0.22874394977394608,0.4015220448494629,0.27293366566930105,0.28389988676525846,,,,0.27693237827988754,0.3566220482270984,0.4390145171714632
1104p,1104c,Block 3,Trial 1,0.3174177705767729,0.29068833958426554,0.2158807992357593,0.4561770216849,,0.4170663198119883,0.32387364715903266,0.23385226918264443,0.21308870835287158,0.42151191331152205
1104p,1104c,Block 3,Trial 2,0.2123072287437851,,0.3739019071313197,0.35457229487336656,0.3543841098876375,0.2701450935856629,0.3376642602867426,0.3041418686086059,0.2275721734189461,0.303215163137321
1104p,1104c,Block 3,Trial 3,0.2526263222121667,0.3291273361426355,0.3064895538431897,0.27096452765876256,0.27830236782085005,0.3727369253812539,0.3406943390285384,0.28775750523862426,0.26478682264071945,0.28836900564437323
1104p,1104c,Block 3,Trial 4,0.2838270791263456,0.511921398531532,0.44457674620872717,0.2735433352711408,0.3336515813679394,0.2840756154814834,,0.30851805068332017,0.37176327103025186,0.41687677138405
1110p,1110c,Block 1,Trial 1,0.1971759029075698,0.3039548110228587,0.5203194841039576,0.3942982518287081,0.46759818784821605,0.374219337026819,0.4806098966666562,0.4048594475973103,0.3068169100857886,0.3776248681014104
1110p,1110c,Block 1,Trial 2,0.2865215093403585,,,0.41631356633709526,0.3401498986161436,0.3468410541138158,0.30056564975991956,0.4105412399128728,0.27644799613838167,0.20834125611927345
1110p,1110c,Block 1,Trial 3,0.41445481816363117,0.32782800326698924,0.2606804584953699,0.33501071082181383,0.34085254987537456,0.3462452307153481,0.3764982981433605,0.2748001003728273,0.32036494123609666,0.2718321466713033
1110p,1110c,Block 1,Trial 4,0.22375744664558933,0.33742539669661936,0.32942795018881194,0.3257892232960861,0.30419965965494056,0.31772184737752224,0.31215910304378097,0.27500880517126003,0.35944602513192137,0.4783932892413027
1110p,1110c,Block 2,Trial 1,0.4119810900894524,0.2926951588051781,0.35653012307969045,0.37901182218663887,0.5062938419182064,0.5667810278292098,0.5473324698621417,0.3184363820006007,0.3162404195475085,0.37342055620731496
1110p,1110c,Block 2,Trial 2,0.39214508633432993,0.43921645723228997,0.2812432024747488,0.34093116799431533,0.25677062023719543,0.3549940047049537,0.3635618087292438,0.4517641387103423,0.31288903941917895,0.3087627371887576
1110p,1110c,Block 2,Trial 3,0.2546567198318642,0.4633666513582014,,0.36547525619028287,0.40732338269605955,0.4657839745700172,,0.2870542037331265,0.30846443713012417,0.2942209174154277
1110p,1110c,Block 2,Trial 4,0.4849989526316712,0.3377653851431632,0.45248856584314745,0.2644240029840012,0.4136547778755815,0.25959769307766134,0.4325278077708857,0.37111701503297895,0.25335236722320226,0.3139852989829807
1110p,1110c,Block 3,Trial 1,0.31221257311227857,0.32540267106027937,0.4787382548615438,0.3104236650024533,0.3250144525424552,0.37061140399818965,0.21017979508641074,0.4370255921845882,0.4729398877123015,0.38285977729999127
1110p,1110c,Block 3,Trial 2,0.3992996429170936,0.23646972441111572,0.28839046454515677,0.4813805889172696,0.39337589788321387,0.2554314722257904,0.4327463032152534,0.40623335293959123,0.4070196610944215,0.3449488438861559
1110p,1110c,Block 3,Trial 3,0.43740908612717466,0.38807418074501837,0.23624312210174075,0.3021397471465166,0.2870820598535463,0.2133227766447829,0.20460198438167296,0.250946639908913,0.21459592288775556,0.29377918284809557
1110p,1110c,Block 3,Trial 4,0.3287405477099673,0.3173770184958393,0.3525085490515618,0.2965609600315617,0.30775301643060565,0.15950269353243168,0.46013675350857053,0.4047636428709159,0.4121473745930099,0.27820463136697493
1112p,1112c,Block 1,Trial 1,0.35129470552276365,,0.33726968940746144,0.3631835267621089,0.36278675716571085,0.4020619135379419,0.21934686664485206,0.45467010524276213,0.3290704067664318,0.3649510461228994
1112p,1112c,Block 1,Trial 2,0.22841154313130255,,0.27047606474360686,0.36320781799996843,0.37129688998501986,0.41926129786095284,0.2697712514864596,0.39478426114449616,0.29095992564033113,0.3329522061508339
1112p,1112c,Block 1,Trial 3,0.37197593000458734,0.37998408855041765,0.3689960147733478,,0.35083818755442925,0.29652609495319004,,0.2547901195462471,0.29930209412828473,0.25722425945547167
1112p,1112c,Block 1,Trial 4,0.22587250055333977,,0.29962192177554603,0.30836062081344107,0.3859037401970703,,0.38059584823595916,0.3891817086048174,,0.28094616978934395
1112p,1112c,Block 2,Trial 1,0.38779097897991305,0.48907192827553175,0.4472625412547831,,,0.43086968802893016,0.4000910352712945,0.4356848287022463,0.41366299303356013,0.476001796887304
1112p,1112c,Block 2,Trial 2,0.451442444826365,0.3198622126098733,0.3917902955770789,0.29183723189727895,0.3349881910590088,0.4119622636312733,0.3018281153093044,0.4057932862257488,0.35318760097665325,0.26964696852364095
1112p,1112c,Block 2,Trial 3,0.4490978701780999,,,0.47264388402550483,0.5381293725930201,,0.34532476666072565,0.22797083043879401,0.43802806059773425,0.3313279696348712
1112p,1112c,Block 2,Trial 4,0.44083206931373764,0.5209316082500547,0.38863542664886835,0.23067892316712177,0.29255487346828574,0.38318238916131486,0.37236264399712266,0.35297220104650084,,0.3642578600017578
1112p,1112c,Block 3,Trial 1,0.45347378506224434,0.3452146678413928,0.5267018938849259,0.3419825314024462,0.2174520309536496,0.3190073199188649,0.2752214236273763,0.36631405333736683,0.3717236400262869,0.3631634569822103
1112p,1112c,Block 3,Trial 2,0.3680078883813674,0.22795401610580313,0.34841163622177973,0.3514333251645385,0.44191715127413234,,0.388521246012692,0.3509471638781587,0.4064937086089842,0.28952674993070365
1112p,1112c,Block 3,Trial 3,0.4786232084102793,0.5143947021342726,0.41187897147098657,0.35974563674618504,0.4045849547296164,0.5117359816354737,0.37404946157549673,0.3403410192034707,0.4463218750490063,0.3161102911595122
1112p,1112c,Block 3,Trial 4,0.3359354073321188,0.3490123420265557,0.33117118398317685,0.3726781829692873,0.462957742933983,,0.34549429815487204,0.22673499288854448,,0.28459454527692524
1113p,1113c,Block 1,Trial 1,0.3965397849281812,0.3461002791380515,0.3219373520279606,0.30849850213266755,0.2692924106029918,0.2891110558202815,0.30785580034233684,0.21832863468283784,0.25015581143623405,0.4347257669658552
1113p,1113c,Block 1,Trial 2,0.44058714190429143,0.2717037053369217,0.3391662438693211,0.3988945081877898,0.38811319634776875,0.31741987879722694,0.4018803158277166,0.4218275673501952,0.3961706514820486,0.34103970789862526
1113p,1113c,Block 1,Trial 3,0.31958089727244055,0.3324693367541284,0.2026254449688247,0.4297465856088858,0.18430667407869064,0.3671247417596615,0.28200790839963685,0.3516391086225213,0.3439362956716538,0.4392847309995195
1113p,1113c,Block 1,Trial 4,0.5232225428148772,0.5205931716458103,0.3159999521298827,0.3318966011774089,0.25385698145982577,0.2540977354992685,0.36905146913950687,0.3581996229903371,0.3538172816440213,0.309777615619484
1113p,1113c,Block 2,Trial 1,0.384247672881838,0.31190309507688435,0.28090044937810266,0.3362364294511574,0.2893128782835583,0.46081011919486253,0.4138454886826037,0.41487217718752817,0.34021103333198477,0.41236478011356764
1113p,1113c,Block 2,Trial 2,0.4152762176454466,0.2739157614130175,0.3986583605944546,0.35726562912477977,0.3560348011519031,0.27236108667631,0.533871903902303,0.22971343756991267,0.3896246504749427,0.3303630264744802
1113p,1113c,Block 2,Trial 3,0.2681222492760405,0.3753966729876976,0.2492821842871278,0.3143025012061063,0.337198635582829,0.44665008562646813,0.404002075476842,0.38529500987747095,0.3597172801324721,0.3825105072954104
1113p,1113c,Block 2,Trial 4,0.37741383236220455,0.15117725173511917,0.2733703456856399,0.4116045370520583,0.42316480337518314,0.42119642528907636,0.45784288815314467,0.3709526477829548,0.45239060796616193,0.3703375032751918
1113p,1113c,Block 3,Trial 1,,0.38686250910198094,0.2585867115479305,0.23304487307233254,0.33524813579066615,0.36284967671322166,0.4049864475370741,0.24103180116635223,0.46541322741744745,0.37767947099644367
1113p,1113c,Block 3,Trial 2,0.41902206384269997,0.3507839490785506,0.33964656618208655,0.3814296181448394,0.2812924832313383,0.3927740917407042,0.4046297056717875,0.3903299510560284,0.2541884108305349,0.39657795349177977
1113p,1113c,Block 3,Trial 3,0.2366283842583842,0.29159228875735804,0.3078804113328007,0.28893811987082446,0.32062305621287235,0.22320330343127684,0.29349251736290716,0.4429889619321809,0.32130916732710124,0.4908518968407058
1113p,1113c,Block 3,Trial 4,0.3522068730498851,0.38379003879758333,0.2766473910602364,,0.25577840008765074,0.20961102183337985,,0.16393543663986151,0.20425917862901496,0.3380896344107606
1114p,1114c,Block 1,Trial 1,0.2603610798951561,0.3526205935445911,0.39852855603275295,0.31554878263337144,0.35131284009790587,0.5186151352560259,,,,
1114p,1114c,Block 1,Trial 2,,0.36631767542039545,0.2988536690427264,,0.13554896329402255,0.25566039860621403,0.2692244735698372,0.26358696538901893,,
1114p,1114c,Block 1,Trial 3,0.2763406047097601,0.2516371532243311,0.4042420932575377,0.4559170749162566,0.30621566662051297,0.4059047749469226,0.371398734214745,0.47667797906524917,0.2553415200180885,0.3317697115927679
1114p,1114c,Block 1,Trial 4,0.380359368296857,0.38234608436721745,0.34374677125069025,0.38013100285859086,0.3574764720956644,0.2441554980151015,0.28944304968580764,0.4536143728154244,0.33059047396282004,
1114p,1114c,Block 2,Trial 1,,0.38847319032005634,0.3900943209119289,,0.3616834585422943,0.29478856363321526,0.39647155728388156,0.42202830617249626,0.3229042278741036,
1114p,1114c,Block 2,Trial 2,0.23309164994664225,0.3909698070416294,0.46255698071000123,,0.36318295377519644,0.29848689958359104,,0.4464497119083911,,0.4260870645659491
1114p,1114c,Block 2,Trial 3,0.4337941114623536,0.3970122860494477,0.386077281156619,0.25261005148668747,0.31397280582595,0.35344806342585905,,0.3285445725802906,0.48532004530194256,0.36515614469480395
1114p,1114c,Block 2,Trial 4,0.40572670762325197,0.23327447789026376,0.34128006177743564,0.3815827169786173,0.4714672623649867,0.3283423615904586,0.354129870854833,0.3985787529660593,,0.25580590079389603
1114p,1114c,Block 3,Trial 1,0.5496361395786609,0.25231482640275454,0.3340774970199377,,,0.2641731361486653,0.2538238951675786,0.32414742511321115,,0.3477853001613709
1114p,1114c,Block 3,Trial 2,0.40092442428608216,0.37145886133166023,0.3147917090912701,0.3676252156742092,0.2996229392209174,0.3150444615649081,0.26380901723657313,0.4206075122849737,0.33583035564667624,0.24339847765211994
1114p,1114c,Block 3,Trial 3,0.3426450355335454,0.27046562354402764,0.20274259145433984,0.26493229894039744,0.43662237749347316,0.3278505765049398,0.29490419082150465,0.3213465477813454,0.3830894834198256,0.2905567520149378
1114p,1114c,Block 3,Trial 4,0.37539202384768144,0.27735078344731073,0.3638786615472307,,,0.46759635489673146,0.38101202030049414,0.41217232319556624,0.32665698395280035,0.33226536833487424
1116p,1116c,Block 1,Trial 1,0.266747586664538,,,0.3116784851552639,,,,,,
1116p,1116c,Block 1,Trial 2,0.3731965313707401,0.35290713141382274,,0.3381734044050154,,0.23993848859885172,0.23646027889588547,0.36900135064494965,0.37392667751075714,0.3703390346201034
1116p,1116c,Block 1,Trial 3,,0.2906924167228079,0.46581320945173477,0.3312341656030549,0.34505983175004185,0.24181006553558657,0.30136138826603226,0.37223191792943466,0.2608327614822156,0.323719536478745
1116p,1116c,Block 1,Trial 4,0.21320065441435634,,0.3508530750693019,,0.23733805082149165,0.31368028759788885,0.3274766205056382,0.2967089007315938,0.2879339101277322,0.3829221229318688
1116p,1116c,Block 2,Trial 1,,,,,,0.4554560039142536,,,,
1116p,1116c,Block 2,Trial 2,,,,,0.5090479149620216,0.2897079631355116,0.4233465024699819,,,
1116p,1116c,Block 2,Trial 3,,0.466776159625068,,,0.5038221846977026,0.30562776528362634,,0.3494578857777737,,0.3777053788233007
1116p,1116c,Block 2,Trial 4,0.27540807615879886,0.41775528771026954,0.47334716041655667,0.36082958814815347,0.44317323019651195,0.48315742732547645,0.4729509278496558,0.40419621052377036,0.42360949171646933,0.3935534219623328
1116p,1116c,Block 3,Trial 1,0.4199477762926281,0.45426356104574667,0.4107038661831051,,0.18666564885214654,0.39284030448083423,,0.3963429353474683,0.37284558435720017,0.27236149455621267
1116p,1116c,Block 3,Trial 2,0.3182260069597676,0.30310238456299743,0.2882201823018706,,0.2105071786725724,0.2603095410957433,0.30429558782697413,0.3057063412402599,0.32414845560118427,0.38054817846377603
1116p,1116c,Block 3,Trial 3,,,0.3405724062568063,,0.4231824664452178,0.2558172141285453,,,0.39102738207483634,
1116p,1116c,Block 3,Trial 4,0.2910546461582849,0.3520178967992677,0.21629050577960454,0.21954299125235466,0.24447893208782845,0.3861554712828584,0.43491655759748743,0.2665453303018392,0.2890031122382416,0.4662592102956669
1117p,1117c,Block 1,Trial 1,0.4179319373083804,0.32534214927561284,0.20500486586237252,0.34882534555983463,0.2823667916335678,0.21526085273172643,0.43899950823300715,0.36529595836755313,0.20052126599289866,0.2893173171221646
1117p,1117c,Block 1,Trial 2,0.34771816528357324,0.4534166356374234,0.3081621530086472,0.19838921288859446,0.2554054309237066,0.38053769794767045,0.3418081388166183,0.30162395982581625,0.24624291176313154,0.2953980411910266
1117p,1117c,Block 1,Trial 3,0.339466100069795,0.23189566159890002,0.31394029472383617,0.3467703802179607,0.36713907678952135,0.34572050779194896,0.33882800101394134,0.32427657825755085,0.3503653263330975,0.3529308938254588
1117p,1117c,Block 1,Trial 4,0.3721273416869092,0.3959133849540617,0.500598548561212,,0.2906315756393507,0.5368532551873539,0.5111293231952297,0.3873805943585353,0.41285864953518103,
1117p,1117c,Block 2,Trial 1,0.4010895114049517,0.20874619463729496,0.3873020788987157,0.5745176289516192,0.5125154422669995,0.43842345048752557,0.2764309708132671,0.32623553018102275,0.32994747830065974,
1117p,1117c,Block 2,Trial 2,0.2717297033425543,0.37009274597182107,0.412720819163162,0.3807040027832484,0.4171343015430236,0.3928941899861557,0.38212234109711296,0.3047077441067422,0.3900350691250947,0.38824118911175265
1117p,1117c,Block 2,Trial 3,0.40731539894800683,0.21787957881481795,0.42059941421324665,0.3758531396699826,0.26931975153446625,0.39202965515258875,0.49892251316719627,0.38224220406179504,0.3460215997898681,0.5205872879123218
1117p,1117c,Block 2,Trial 4,0.2564861729967374,0.3335318857515162,0.4958804199757741,0.2852436152642272,0.42115058711341596,0.25280023429461,0.47788066662782297,0.37151134658010593,0.25830356689871464,0.2228546664255619
1117p,1117c,Block 3,Trial 1,0.34104843364572457,0.25745469453402636,0.3510311780565381,0.5515006354816642,0.47777846183634276,0.22875457907062505,0.32177630904851207,0.35675706627828785,0.4062861681875885,0.3306366770516285
1117p,1117c,Block 3,Trial 2,0.23962311514423215,0.24817037861952038,0.39794220965427185,0.4320995357609891,0.18754732061569354,0.2569787114145124,0.322911710994198,0.31939000969101056,0.2952091099473008,0.40962916805775085
1117p,1117c,Block 3,Trial 3,0.2608336259112216,0.23222994390065912,0.2772338366274242,0.3332753122993457,0.3210452621825356,0.2387974028476446,0.3425378605423535,0.33932670078149313,0.34304919296171166,0.42170834974145066
1117p,1117c,Block 3,Trial 4,0.3859933125272825,0.3748908545905771,0.2567387443161455,,0.35357442992008675,0.25948520975637807,0.2984779835636711,0.4336177744709449,0.4154990563424384,0.36643001710921524
1121p,1121c,Block 1,Trial 1,0.27699819024670247,0.2856583681130188,0.3646058866892146,0.3903154524853822,,0.30324660084828997,0.41840516338982986,0.24246987895059316,0.3980587189321037,0.332708303237363
1121p,1121c,Block 1,Trial 2,0.396266685183072,0.37496307415355745,0.2807356589377684,,0.4787523423022408,0.32456805453710375,,0.4410208825537711,,
1121p,1121c,Block 1,Trial 3,0.35263606324139396,0.39601248211923695,0.48002980648932836,,0.3076445816338095,0.3447778977691273,,0.30294616641613886,0.24335411339324414,0.2532412009342842
1121p,1121c,Block 1,Trial 4,0.3108784517305577,0.5300450259907661,0.4678553532491824,0.22654626056650934,0.26761453629686877,0.2351299089537188,,0.344096794072394,0.30190131055857966,0.28705239728973325
1121p,1121c,Block 2,Trial 1,0.28876011042659533,0.3092993421589567,0.2470224069967828,,,,,,0.32111074924386246,0.4656654327622491
1121p,1121c,Block 2,Trial 2,0.37658170243441275,0.27074476690899035,0.5068391164233625,,,,,,,0.33962301274104306
1121p,1121c,Block 2,Trial 3,0.31868938182171774,0.3667470301345389,0.5057874004492685,,0.37106099083831945,0.38666866484323476,,0.3850776810049921,0.5249366697352124,0.407988687766127
1121p,1121c,Block 2,Trial 4,0.2587371722052593,0.3515577741896959,0.363196802784339,,0.2842705841266503,0.2783610879020602,,0.3060895472380578,0.4758659825601276,0.21063376967823438
1121p,1121c,Block 3,Trial 1,0.4118803790086953,0.34487973780617487,0.4449031788075035,0.32422198310710215,,0.3195680492937095,0.34353877309986386,0.3094225165853952,,
1121p,1121c,Block 3,Trial 2,0.4702337355359286,,0.31334717041350685,0.27977099131880867,0.3406327451856912,0.36199813054646884,,,0.3729721512961228,
1121p,1121c,Block 3,Trial 3,0.4681371901660363,0.29900094736365834,0.41588785172809245,0.31212391299369774,0.4326781284131944,0.4038499654638361,0.3243431793358595,0.38390614827005864,0.4378709275117752,0.3087878707687449
1121p,1121c,Block 3,Trial 4,0.23888657984776462,0.331926982040998,0.24669941718458577,0.37111014946284077,0.38635219855685354,0.440170719587558,0.2938514052620507,0.3756817220213661,0.25006585381168384,0.38478310840443636
1122p,1122c,Block 1,Trial 1,0.49746670249498937,0.2657374274935436,0.2894236871742254,0.3413682478268342,0.17850330218684263,0.43385614203511874,0.3936612432977326,0.45195305538599656,0.4510640684111838,0.3496739168263938
1122p,1122c,Block 1,Trial 2,0.2838011674168675,,,,,,,0.2511280962482482,,0.3197882124983671
1122p,1122c,Block 1,Trial 3,0.2406912538896428,0.35598979671170033,,,,,,0.26180549083089927,,
1122p,1122c,Block 1,Trial 4,0.31169378848149,,,,,,0.37718401387367295,0.4541391248373762,,
1122p,1122c,Block 2,Trial 1,0.21208831555149324,,0.46899960009935215,,0.39842759517026705,0.4728512067467539,0.32122653565242143,,0.3803771572575534,
1122p,1122c,Block 2,Trial 2,,,,,0.3863228886683808,0.49522722442054806,0.5013969721723429,,,
1122p,1122c,Block 2,Trial 3,0.19322709638547472,0.2445852980297188,0.4719058081802503,,,,0.384991755775165,0.4625550416248267,0.1931646639401992,
1122p,1122c,Block 2,Trial 4,0.35660942743223645,,0.43039673714810883,,0.45164453754493444,,,,0.360399884789606,
1122p,1122c,Block 3,Trial 1,0.3568300676530955,0.32539552107378206,0.3434394879871612,,0.3544548742607845,,0.31064600726989877,0.22328549542388126,0.3950257611479117,0.3269881398251394
1122p,1122c,Block 3,Trial 2,0.43994498958905165,0.44985985920006183,0.2908419172461144,,,,,0.3847723881059192,0.4476982750666197,
1122p,1122c,Block 3,Trial 3,0.30511539607089183,0.5330366756384944,0.3127499795620327,0.32869576495778824,0.28254382497607033,0.3863762534898735,0.3632756331091169,0.3598655369106457,0.17641617828637496,
1122p,1122c,Block 3,Trial 4,0.35052279890015375,0.4579313977581347,0.3132348031997312,,0.4286684217841567,0.3610095304692881,0.28746544783795963,0.31293071331412475,0.2980618756039853,
1124p,1124c,Block 1,Trial 1,,,0.2671451813007888,0.39267494622451393,0.3346787807964787,0.3296295622323507,0.3606834450378535,0.35982099956881225,0.2659589164432418,0.25143384053973866
1124p,1124c,Block 1,Trial 2,0.39465580130796113,0.3519727740364014,0.290362642848896,0.27446213703417727,0.46588638956801903,0.3584648321120392,0.24964865474436965,0.23695505126017416,0.2679325379791219,0.2462734343296108
1124p,1124c,Block 1,Trial 3,0.2707573963611737,0.3414602386178121,0.37796013742224543,0.3167711889031549,0.29356127546118294,0.3175585580299628,0.2151205262490433,0.2064500328394963,0.3542211318919876,0.304026139270645
1124p,1124c,Block 1,Trial 4,0.2873706216457128,0.2548570308622169,0.20464595686537512,,0.3079022489508073,0.3832394563042671,0.4822755619238097,0.3421746445539082,0.33365964033906964,
1124p,1124c,Block 2,Trial 1,0.2860538720994941,0.42272748653206044,0.4186739657699628,0.33228029641744855,0.2946572690970091,0.27403014485927335,,0.2844655206369338,0.22150215586545197,0.3150648102170751
1124p,1124c,Block 2,Trial 2,0.48675407088642964,0.30800692375728805,0.1560389407650869,,0.40379052843594065,0.33122492024213945,0.46857985977077465,0.5005959488644741,0.29880903970717965,0.3997410060106451
1124p,1124c,Block 2,Trial 3,0.37594425294978623,0.34817198376088265,0.42841818810520615,,0.2725956965255211,0.4114016313884053,0.4139586047534836,0.39502903613732887,0.44051049761721417,0.40176391879003975
1124p,1124c,Block 2,Trial 4,0.38988699906160523,0.4939496697844309,0.23132715234698145,,0.4830311893246279,0.2606385242586133,,0.24357505016315245,0.48814812752513814,0.3607325154424459
1124p,1124c,Block 3,Trial 1,0.4299037656471101,0.35471980620368676,0.25422430794351375,,0.3170155919829608,0.20190175238245534,0.24013878009274045,0.25175105618730853,0.3349111002230079,0.3796150220029357
1124p,1124c,Block 3,Trial 2,0.2987174322354668,0.2507425498697937,0.3784304586852264,,0.46097759812549355,0.47174732358771415,0.501249078000461,0.38896754770546405,0.4230734263934854,0.22313468312641024
1124p,1124c,Block 3,Trial 3,,0.21548188788524136,0.2876962078632122,,0.27000682022518036,0.21189446562482628,,0.41293080419004413,,
1124p,1124c,Block 3,Trial 4,0.2943164201341831,0.4390852730283524,0.2735916404890198,,0.46095627201791567,0.4058138580361403,0.32043280683516967,0.367998827455406,0.42964618879588795,0.39784544236445457
1125p,1125c,Block 1,Trial 1,0.24858916080890578,0.3311721096175263,0.32714915896898833,0.19502730648636626,,0.4730753575100142,0.3471617632354023,0.26918272364329465,0.27278362559333663,0.23992579412189954
1125p,1125c,Block 1,Trial 2,0.3420347796338877,0.2363885026219917,0.32909886869511307,0.3645414622498225,0.28501467888375914,,0.2819665880627027,0.37342434833730614,0.3039411815415864,0.33179135102262775
1125p,1125c,Block 1,Trial 3,0.2826717117034129,0.3472068820284532,0.3603374534852612,,0.3510289719984661,0.20044338602161166,0.3966695343685544,0.18970073770235904,0.4091969404568036,0.3333571507973239
1125p,1125c,Block 1,Trial 4,0.347017959073011,0.33323666713452366,0.24971797662975542,,0.26399239779831574,,,0.3432786689725212,0.39968463992930336,0.4115857022734947
1125p,1125c,Block 2,Trial 1,0.3151065770198961,0.3726819429460163,0.3059977512249691,0.3671856382056209,0.2884271665667712,0.3044894786563742,0.32647969756868656,0.3766798206256022,0.2992863162526796,0.3529061682813536
1125p,1125c,Block 2,Trial 2,0.29341913385918167,0.46573211657799857,0.25815052974915936,,0.36714973661009825,,,0.4316622926939806,0.3183506102190241,0.3905800030841258
1125p,1125c,Block 2,Trial 3,0.3707084300235287,0.3688842453004645,0.37954092928836236,0.3869189278011185,0.3432861221126981,0.21670961640236325,0.44846625668701867,0.2717578414812315,0.27488151151023904,0.35238334999812376
1125p,1125c,Block 2,Trial 4,0.20355101125090028,,0.448356447674923,,,0.4526137711174445,0.42048621631837874,0.2689276445332241,0.23991437892806056,0.3095077046619389
1125p,1125c,Block 3,Trial 1,0.31085235437191305,0.36214802386551975,0.2455433593643836,,,0.2940283687849911,0.30075025298759434,0.3963955112572748,0.2563769791241703,0.27170391388662035
1125p,1125c,Block 3,Trial 2,0.3514730739086432,0.3576121666075159,0.28798348256639933,0.3703433224372066,0.37950578412482544,0.2606239996269232,0.21845729586154017,0.2951881221606365,0.3754653502455661,0.2559421450203565
1125p,1125c,Block 3,Trial 3,0.35396815562580747,0.3999055054308572,0.32193750834932594,0.37664879683737273,0.3277596959166142,0.3507877001821892,0.2832025329949704,0.3211991044184597,0.35937286591662654,0.47009444663308564
1125p,1125c,Block 3,Trial 4,0.3740139863883617,0.3391429706443502,0.3751940336270901,0.3368381105373141,,,,0.3919018057748856,0.2923309030686667,0.3078239821504389
