Parent,Child,Ts,Block,Trial,Band,S1_D1 hbo,S2_D1 hbo,S2_D2 hbo,S3_D2 hbo,S4_D2 hbo,S5_D3 hbo,S6_D3 hbo,S7_D3 hbo,S7_D4 hbo,S8_D4 hbo
1102p,1102c,r56,Block 1,Trial 1,all,0.3154746149998019,0.27823876852596613,0.2826213428500902,0.2695693335074473,0.27063816289516357,,0.3248358567604837,0.32728658844786623,0.3199176638441445,0.28108647544800774
1102p,1102c,r56,Block 1,Trial 1,cardiac,0.23358747135360813,0.17902198720515827,0.26874399912526775,0.27097534586747124,0.2272958825150849,,0.26156207351483,0.2460600040921701,0.25414514701377866,0.22675707709685475
1102p,1102c,r56,Block 1,Trial 1,myogenic,0.3810352365484847,0.27080033687159766,0.26434946615606975,0.2431498464307801,0.26540658757365404,,0.38955099587205544,0.4418932943983296,0.2672716812747933,0.25343698050760066
1102p,1102c,r56,Block 1,Trial 1,neurogenic,0.38129208933447417,0.6231070774431468,0.2702752588687271,0.18694311037943406,0.22902360133223001,,0.2658411022250439,0.16427126372583445,0.7615213998007337,0.6559008766022346
1102p,1102c,r56,Block 1,Trial 1,old,0.3568217274811201,0.3322414641879681,0.24753805760119807,0.21100966027851636,0.2578098031386715,,0.3469864018740669,0.37348556083692175,0.3718782417370455,0.32382683208998075
1102p,1102c,r56,Block 1,Trial 1,respiratory,0.2363118240901857,0.23987174395771493,0.19301352756637138,0.19358534194019686,0.2532253810056593,,0.2635529565311472,0.2902500051905029,0.2556621671981533,0.17747927480381276
1102p,1102c,r56,Block 1,Trial 1,slow_task_related,0.3533984674062445,0.34918417823933084,0.25459563962453974,0.22945309624224386,0.2504265451025702,,0.3750682104935602,0.3770028242715689,0.37162674791276684,0.34441381263397497
1102p,1102c,r56,Block 1,Trial 1,task_related,0.3444083851204104,0.2608991426798481,0.24954211636468904,0.2431540158237747,0.25732468927866603,,0.4102719819401027,0.44556596171642393,0.24596414976404743,0.24402188994811289
1102p,1102c,r56,Block 1,Trial 2,all,0.2946704807011465,0.27905074935972063,0.2696051273993791,0.2847363237200565,,,0.2861432189383689,0.22689178865253545,0.2693814211596068,0.23467758883043566
1102p,1102c,r56,Block 1,Trial 2,cardiac,0.19000237019035307,0.21387341366689044,0.20981653894786104,0.2276586691321039,,,0.2555607422696615,0.22312258366875165,0.22528381031124314,0.20904239206504685
1102p,1102c,r56,Block 1,Trial 2,myogenic,0.4362025785063817,0.35985256027235396,0.2750000995416196,0.32803426586057455,,,0.2556611819330986,0.13681004967838403,0.2929992987946136,0.14689511314776343
1102p,1102c,r56,Block 1,Trial 2,neurogenic,0.24612044982805437,0.3644100572181037,0.24789248446170029,0.31486803168960714,,,0.26293523834884014,0.23527507127599664,0.4445406277707951,0.14837437260391756
1102p,1102c,r56,Block 1,Trial 2,old,0.3603106477873647,0.32973276380149386,0.2716165835689391,0.3169398174684499,,,0.26352891219676194,0.15755303828891132,0.2867646664745292,0.15259982827419732
1102p,1102c,r56,Block 1,Trial 2,respiratory,0.22780792319976131,0.21800428964689036,0.23762739171412706,0.23215269844133746,,,0.236200519596948,0.16611454427876166,0.19758031601339743,0.23157860981289546
1102p,1102c,r56,Block 1,Trial 2,slow_task_related,0.4506508194875195,0.3951477058553385,0.27199858149986045,0.34313403510489016,,,0.2417667232153398,0.16262798479499668,0.33883416610837946,0.14193713270661942
1102p,1102c,r56,Block 1,Trial 2,task_related,0.5165707225363863,0.4050544146804886,0.2797679488671019,0.3522441355159768,,,0.23494413511943915,0.13921391232456867,0.304765095016263,0.1398624176868465
1102p,1102c,r56,Block 1,Trial 3,all,0.2963040721306469,0.25156237353652317,0.2998923920608656,,0.21321133292999317,,0.2738431556324099,0.3119890005946374,0.33383291128209147,0.3393699465669772
1102p,1102c,r56,Block 1,Trial 3,cardiac,0.25938938673113715,0.2241593606813558,0.2095890120005908,,0.18590420595620122,,0.24855789094742364,0.23444628270604906,0.27110851850278106,0.25924356389849407
1102p,1102c,r56,Block 1,Trial 3,myogenic,0.14803950993113899,0.23202471305205294,0.3193678578375587,,0.17230745136063433,,0.17625885818575143,0.3086275479568605,0.35627425070730717,0.4274657977238705
1102p,1102c,r56,Block 1,Trial 3,neurogenic,0.44778967633374944,0.0701834946375338,0.36682551114559914,,0.14186132583405847,,0.1342088459773868,0.30382115696659706,0.726686170635194,0.5400331653047368
1102p,1102c,r56,Block 1,Trial 3,old,0.2511056308769008,0.2042493196300269,0.3417078126395328,,0.17979926158270476,,0.2009592226625695,0.3317920128404892,0.39487862755669817,0.41174786942705593
1102p,1102c,r56,Block 1,Trial 3,respiratory,0.31104487692341426,0.29084037543958574,0.3217468486263815,,0.2411047881790202,,0.30404553394736406,0.359642532220665,0.26272706170948623,0.2846873473675569
1102p,1102c,r56,Block 1,Trial 3,slow_task_related,0.18940038227854245,0.19762383519939963,0.33348678906711937,,0.16155969814298096,,0.15544894275344184,0.30747859231234603,0.46320346354831254,0.49310802538941256
1102p,1102c,r56,Block 1,Trial 3,task_related,0.1061218098037378,0.2386977104793389,0.3227417572615956,,0.1679084608963394,,0.16229460153046005,0.3086573795203323,0.37828328990789695,0.4779841067316461
1102p,1102c,r56,Block 1,Trial 4,all,0.2428793923283769,0.2482952030578665,0.32267469165093204,,,,0.2695055038696721,0.2817834785227393,0.25493602621927947,0.31099154501428017
1102p,1102c,r56,Block 1,Trial 4,cardiac,0.2251507429572029,0.17827770963612175,0.19557419011933663,,,,0.22027466800482765,0.2304682413341204,0.20445687290277129,0.18772687308640937
1102p,1102c,r56,Block 1,Trial 4,myogenic,0.15432227864331832,0.2718739653765069,0.38919395489365005,,,,0.2137618117865286,0.29629326466943856,0.180378961955204,0.4183791402578916
1102p,1102c,r56,Block 1,Trial 4,neurogenic,0.23521702606732126,0.2889953323831368,0.6903679254587474,,,,0.33610849432431206,0.10078136805778665,0.1305013517774057,0.16957911021191963
1102p,1102c,r56,Block 1,Trial 4,old,0.1840632421854224,0.2614589594172427,0.41297969266204665,,,,0.22491640713678987,0.2617818341369181,0.19186972483266804,0.37442001429816457
1102p,1102c,r56,Block 1,Trial 4,respiratory,0.16092663004844798,0.18888270923709416,0.25648101855886996,,,,0.23851482532219628,0.25798929289661154,0.2503467480772554,0.30097056682936507
1102p,1102c,r56,Block 1,Trial 4,slow_task_related,0.17647166231584532,0.3105764665618707,0.5161201108018612,,,,0.26268258081746165,0.2403872886289907,0.15633956944474,0.34876621969577665
1102p,1102c,r56,Block 1,Trial 4,task_related,0.15753809910215127,0.3175320413017753,0.45996024042279116,,,,0.23901749329180552,0.2853821163625143,0.1646671972998211,0.40651801912022895
1102p,1102c,r56,Block 2,Trial 1,all,0.2838760205742955,0.2421073301488605,0.24678778502197596,0.25291847403766393,0.2723928914821259,0.22239025180499117,0.27523808559645296,0.2388701038095003,0.24380128408682225,0.25420187023843055
1102p,1102c,r56,Block 2,Trial 1,cardiac,0.21431151825760572,0.22239145515310935,0.18681231995378303,0.22168000781235964,0.2464817663129694,0.18887721627280754,0.2318767672775815,0.2048637085301463,0.1959039483732945,0.18709106619070903
1102p,1102c,r56,Block 2,Trial 1,myogenic,0.38710836866567744,0.14883314652764915,0.2437788469487194,0.19927441156622402,0.2559287380930998,0.19768541313367075,0.21120143484962178,0.17448566025061496,0.20993560088391774,0.28549630937639214
1102p,1102c,r56,Block 2,Trial 1,neurogenic,0.13587644067381702,0.30803013267997476,0.26257352485493257,0.16117151694769583,0.16421282164631776,0.08773551236591857,0.3179556700689721,0.14221467240326713,0.2163805105841401,0.16592464408734525
1102p,1102c,r56,Block 2,Trial 1,old,0.3221705101258743,0.19598501869567284,0.21947950441927094,0.17993711898213205,0.2324500069797761,0.16391295828884633,0.22592362417395623,0.16747673828371756,0.21482645591674324,0.2595924775408014
1102p,1102c,r56,Block 2,Trial 1,respiratory,0.22136473048869873,0.19920638486575323,0.17465093292701112,0.21677790913712666,0.24525171596388678,0.19650010269323165,0.24173191570551253,0.22167481503209124,0.23627024663995624,0.25110316424305995
1102p,1102c,r56,Block 2,Trial 1,slow_task_related,0.3350629500645489,0.17546980035156548,0.2462700674902959,0.2056558434303513,0.24740769859942607,0.18838070539799498,0.23389920813975762,0.18883428282295686,0.22044956405235336,0.26684612758687026
1102p,1102c,r56,Block 2,Trial 1,task_related,0.399260533091171,0.13274575761031723,0.24101548192127964,0.2199930907243014,0.2742213118151175,0.22081853542810326,0.20680790707659477,0.20385972967546376,0.2217610153080855,0.299373005717062
1102p,1102c,r56,Block 2,Trial 2,all,0.2771990067998839,0.28591842933618933,0.29813862373021865,0.29715143162994684,,0.246333548217046,0.23162887776598481,0.2664316959475402,0.27630633688852585,0.28064309125542386
1102p,1102c,r56,Block 2,Trial 2,cardiac,0.19303869783919123,0.18909176786868326,0.2086004146241766,0.2176324333344202,,0.19404760083377465,0.19122428372361658,0.1904152671905652,0.22746514264074957,0.21339936372930918
1102p,1102c,r56,Block 2,Trial 2,myogenic,0.36317834066114507,0.3675684304379542,0.3516754363598688,0.2777711046519884,,0.20664180346033914,0.16276301122126433,0.3377178446880016,0.2294461768627852,0.31288038350569897
1102p,1102c,r56,Block 2,Trial 2,neurogenic,0.2461464546013845,0.3923512364301795,0.4399991054556528,0.5063203638542365,,0.566795339024152,0.0676366159527424,0.47440737734876537,0.5895544203194907,0.6272996802269447
1102p,1102c,r56,Block 2,Trial 2,old,0.31647430190902076,0.3556435062210964,0.33753236788223867,0.3090679122451049,,0.26417313393689057,0.17690352845312127,0.31871677822389827,0.2941519831183464,0.33387309370529306
1102p,1102c,r56,Block 2,Trial 2,respiratory,0.18435564198830037,0.22299559741277653,0.22088836989105767,0.2405024565543958,,0.1605463201268395,0.21714502695961835,0.16669324149851053,0.19994185030132267,0.17923253576356846
1102p,1102c,r56,Block 2,Trial 2,slow_task_related,0.3577169647975837,0.39164716824371026,0.4153594519455828,0.358714266876879,,0.30471205288376463,0.11559556133397089,0.3938082134613837,0.3143309121940472,0.4030765792790397
1102p,1102c,r56,Block 2,Trial 2,task_related,0.3936760119918529,0.3914202478764849,0.4074181199407281,0.31114099148325713,,0.22024291100587426,0.13105267430511627,0.3678311955831977,0.2256266918740766,0.33080973157123217
1102p,1102c,r56,Block 2,Trial 3,all,0.24704608201419256,0.2679437031069691,0.2908641384797831,,0.3209939640341358,0.2714011923137993,0.30553370524313417,0.26451480038951547,0.27000077290667773,0.24937834211024565
1102p,1102c,r56,Block 2,Trial 3,cardiac,0.24195852996821673,0.20409491026378382,0.20387988650008748,,0.25754650268731105,0.24708794521996216,0.25738561603656496,0.21755337711119,0.24358465381336342,0.2121509675019554
1102p,1102c,r56,Block 2,Trial 3,myogenic,0.1164779831181703,0.22391402307949781,0.24550249626831108,,0.3457431113791274,0.2637415665122464,0.24439752251424826,0.2287663910357482,0.22175005812497914,0.19783535253021628
1102p,1102c,r56,Block 2,Trial 3,neurogenic,0.13533536209216412,0.37261631925712496,0.25859718443911384,,0.4601172426063927,0.35054367368026734,0.3064293919215926,0.11254847019830766,0.19592308230402886,0.23417656843148466
1102p,1102c,r56,Block 2,Trial 3,old,0.14319121690072212,0.2706947901092018,0.262298934519356,,0.36289174287191567,0.2606570893954538,0.27004139021213286,0.22592466899390848,0.22018690857309484,0.20822648989519663
1102p,1102c,r56,Block 2,Trial 3,respiratory,0.21642781147494644,0.23947094804893365,0.2890474767339382,,0.25509956650145554,0.15428654115846147,0.2903885479846186,0.23452211653685365,0.23046515937692197,0.20988773564532634
1102p,1102c,r56,Block 2,Trial 3,slow_task_related,0.10481710263958055,0.28257233399711784,0.2672918189809888,,0.3579696158678041,0.3011915440240223,0.25625964010625685,0.18895537065162873,0.22261432196044617,0.22095336016028877
1102p,1102c,r56,Block 2,Trial 3,task_related,0.09498110269647198,0.2535512610466511,0.27009408970000226,,0.3250475531810223,0.2852854093624004,0.24008998676255555,0.2135812268437106,0.23121687782212366,0.2166915353335723
1102p,1102c,r56,Block 2,Trial 4,all,0.27021353619973704,0.269745894290934,0.2943211876134688,,0.2816082888280408,0.2552435934001415,0.29646112307050604,0.2486255847928792,0.26192869871772756,0.23573688476374335
1102p,1102c,r56,Block 2,Trial 4,cardiac,0.23327164905664852,0.1852660968813905,0.2053027166346516,,0.2063899853490239,0.21509879248169844,0.20598526606939158,0.21359210310814514,0.25735338957874493,0.18117043686208986
1102p,1102c,r56,Block 2,Trial 4,myogenic,0.2317607204737903,0.27417085633763577,0.2984076359413346,,0.27080879268593805,0.18702281348091457,0.3228963610093819,0.23373463687658974,0.23571160883194042,0.21174189525732942
1102p,1102c,r56,Block 2,Trial 4,neurogenic,0.13063016331919414,0.2953648881295677,0.07169407330192161,,0.4117287405142306,0.28217778991063003,0.3029612214261355,0.13939753556862552,0.19779950884356642,0.21542499039941268
1102p,1102c,r56,Block 2,Trial 4,old,0.21276153516422677,0.2635285058202237,0.26187909203732734,,0.30478059220604675,0.20843479900345738,0.31970112886583646,0.20958661398090908,0.21801129117335522,0.2071978963442989
1102p,1102c,r56,Block 2,Trial 4,respiratory,0.2093841995380858,0.2143003565237372,0.2608100395371048,,0.21956129389949638,0.18881611425305705,0.25011281478719083,0.18032860698942246,0.1553154106143648,0.18252638579276517
1102p,1102c,r56,Block 2,Trial 4,slow_task_related,0.22473287059396319,0.2904835514060286,0.2385311154403362,,0.2810168279654786,0.20311150255424695,0.32517390016132613,0.20633829402538462,0.25135909427814773,0.214897465898803
1102p,1102c,r56,Block 2,Trial 4,task_related,0.25506206498458994,0.2889103021907638,0.2923025023548322,,0.23888852879459352,0.17762852902007473,0.3323330209858635,0.22791322353259755,0.26862128710097133,0.21472744535860647
1102p,1102c,r56,Block 3,Trial 1,all,0.28514250940677416,0.26998692790651546,0.2826350534910503,0.24939778635737267,0.2652461637608774,,0.27184929255161355,0.2803753547087625,0.2920628895417397,0.2839405736593657
