
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,076 K
Registry                        96 Services                   0     39,888 K
smss.exe                       524 Services                   0        508 K
csrss.exe                      664 Services                   0      4,624 K
wininit.exe                    756 Services                   0      4,900 K
csrss.exe                      764                            1      6,088 K
services.exe                   828 Services                   0     10,292 K
lsass.exe                      844 Services                   0     14,096 K
svchost.exe                    956 Services                   0      2,896 K
svchost.exe                    980 Services                   0     38,720 K
fontdrvhost.exe                996 Services                   0      3,036 K
WUDFHost.exe                  1016 Services                   0     12,244 K
svchost.exe                    904 Services                   0     18,816 K
svchost.exe                   1032 Services                   0      7,456 K
WUDFHost.exe                  1076 Services                   0      5,700 K
winlogon.exe                  1176                            1     10,400 K
fontdrvhost.exe               1232                            1      4,516 K
dwm.exe                       1320                            1     60,152 K
svchost.exe                   1392 Services                   0      6,288 K
svchost.exe                   1400 Services                   0     11,900 K
svchost.exe                   1416 Services                   0      6,440 K
svchost.exe                   1496 Services                   0      9,548 K
svchost.exe                   1504 Services                   0     10,048 K
svchost.exe                   1588 Services                   0      9,120 K
svchost.exe                   1616 Services                   0     11,172 K
svchost.exe                   1680 Services                   0     14,560 K
svchost.exe                   1688 Services                   0      4,968 K
svchost.exe                   1780 Services                   0     17,116 K
svchost.exe                   1908 Services                   0      7,608 K
svchost.exe                   1924 Services                   0      4,804 K
svchost.exe                   1972 Services                   0      9,824 K
svchost.exe                   1996 Services                   0      8,072 K
svchost.exe                   1664 Services                   0      5,712 K
svchost.exe                   1544 Services                   0      5,820 K
svchost.exe                   2200 Services                   0      8,756 K
svchost.exe                   2268 Services                   0     14,684 K
svchost.exe                   2284 Services                   0      4,368 K
svchost.exe                   2324 Services                   0      9,568 K
svchost.exe                   2340 Services                   0     11,300 K
svchost.exe                   2376 Services                   0      6,572 K
svchost.exe                   2400 Services                   0     12,196 K
svchost.exe                   2412 Services                   0      4,468 K
Memory Compression            2544 Services                   0     24,520 K
svchost.exe                   2604 Services                   0      7,236 K
svchost.exe                   2624 Services                   0      6,816 K
igfxCUIService.exe            2716 Services                   0      6,848 K
svchost.exe                   2808 Services                   0      6,692 K
svchost.exe                   2824 Services                   0      6,944 K
svchost.exe                   2852 Services                   0      8,020 K
svchost.exe                   3032 Services                   0     50,776 K
sihost.exe                    2420                            1     29,380 K
svchost.exe                   2448                            1     22,436 K
svchost.exe                   2884                            1      6,828 K
svchost.exe                   3108 Services                   0     10,024 K
svchost.exe                   3152                            1     41,784 K
RtkAudioService64.exe         3232 Services                   0      6,036 K
igfxEM.exe                    3244                            1     21,528 K
taskhostw.exe                 3324                            1     14,268 K
svchost.exe                   3424 Services                   0      8,728 K
svchost.exe                   3432 Services                   0      5,492 K
svchost.exe                   3548 Services                   0     13,700 K
svchost.exe                   3560 Services                   0      6,628 K
svchost.exe                   3780 Services                   0      6,172 K
svchost.exe                   3884 Services                   0     19,852 K
svchost.exe                   3908 Services                   0     17,348 K
RAVBg64.exe                   4008                            1     12,864 K
RAVBg64.exe                   4024                            1     13,876 K
svchost.exe                   4040 Services                   0     13,868 K
spoolsv.exe                   3616 Services                   0     13,812 K
svchost.exe                   4116 Services                   0     25,820 K
svchost.exe                   4220 Services                   0      6,624 K
svchost.exe                   4228 Services                   0     18,628 K
wlanext.exe                   4316 Services                   0     11,988 K
conhost.exe                   4328 Services                   0      9,336 K
svchost.exe                   4368 Services                   0      9,576 K
svchost.exe                   4544 Services                   0      7,448 K
unsecapp.exe                  4568                            1      6,724 K
WmiPrvSE.exe                  4692 Services                   0     12,264 K
svchost.exe                   4780 Services                   0     12,324 K
IntelCpHDCPSvc.exe            4788 Services                   0      5,812 K
svchost.exe                   4796 Services                   0     33,160 K
HidMonitorSvc.exe             4836 Services                   0      5,676 K
svchost.exe                   4844 Services                   0     42,024 K
esif_uf.exe                   4868 Services                   0      5,136 K
EvtEng.exe                    4900 Services                   0     24,996 K
svchost.exe                   4960 Services                   0     11,476 K
lkads.exe                     5064 Services                   0      9,292 K
