
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,168 K
Registry                        96 Services                   0     34,576 K
smss.exe                       580 Services                   0        596 K
csrss.exe                      672 Services                   0      4,748 K
wininit.exe                    756 Services                   0      5,332 K
services.exe                   832 Services                   0     10,360 K
lsass.exe                      852 Services                   0     13,952 K
svchost.exe                    964 Services                   0      2,960 K
svchost.exe                    988 Services                   0     35,552 K
fontdrvhost.exe               1004 Services                   0      3,120 K
WUDFHost.exe                   452 Services                   0     12,608 K
svchost.exe                    900 Services                   0     15,792 K
svchost.exe                   1036 Services                   0      7,548 K
WUDFHost.exe                  1080 Services                   0      5,816 K
svchost.exe                   1388 Services                   0      6,340 K
svchost.exe                   1396 Services                   0     12,504 K
svchost.exe                   1432 Services                   0      6,516 K
svchost.exe                   1484 Services                   0      9,884 K
svchost.exe                   1512 Services                   0     10,464 K
svchost.exe                   1632 Services                   0      9,444 K
svchost.exe                   1640 Services                   0     11,188 K
svchost.exe                   1688 Services                   0     14,836 K
svchost.exe                   1704 Services                   0     16,280 K
svchost.exe                   1812 Services                   0      4,972 K
svchost.exe                   1836 Services                   0     11,084 K
svchost.exe                   1864 Services                   0      7,648 K
svchost.exe                   1892 Services                   0      7,832 K
svchost.exe                   1932 Services                   0      5,044 K
svchost.exe                   1292 Services                   0      5,916 K
svchost.exe                   2068 Services                   0      9,224 K
svchost.exe                   2160 Services                   0      6,004 K
svchost.exe                   2252 Services                   0     11,484 K
svchost.exe                   2360 Services                   0      4,540 K
svchost.exe                   2372 Services                   0      6,728 K
svchost.exe                   2392 Services                   0     12,228 K
svchost.exe                   2416 Services                   0      4,676 K
svchost.exe                   2424 Services                   0     13,632 K
svchost.exe                   2552 Services                   0      7,012 K
Memory Compression            2588 Services                   0     35,104 K
svchost.exe                   2608 Services                   0      7,464 K
igfxCUIService.exe            2660 Services                   0      7,368 K
svchost.exe                   2712 Services                   0      7,696 K
svchost.exe                   2764 Services                   0      6,660 K
svchost.exe                   2772 Services                   0      7,244 K
svchost.exe                   3004 Services                   0     10,356 K
svchost.exe                   3040 Services                   0     50,548 K
RtkAudioService64.exe         2872 Services                   0      6,440 K
svchost.exe                   3236 Services                   0      5,532 K
svchost.exe                   3244 Services                   0      8,936 K
svchost.exe                   3452 Services                   0     14,016 K
svchost.exe                   3572 Services                   0      6,900 K
svchost.exe                   3840 Services                   0     19,060 K
svchost.exe                   3888 Services                   0     14,416 K
svchost.exe                   3904 Services                   0     18,992 K
spoolsv.exe                   4052 Services                   0     13,908 K
svchost.exe                      8 Services                   0     18,008 K
svchost.exe                   3880 Services                   0     25,708 K
svchost.exe                   4156 Services                   0      6,832 K
svchost.exe                   4224 Services                   0      9,976 K
wlanext.exe                   4308 Services                   0     12,044 K
conhost.exe                   4340 Services                   0      9,936 K
svchost.exe                   4472 Services                   0      7,676 K
HidMonitorSvc.exe             4684 Services                   0      5,792 K
svchost.exe                   4692 Services                   0     12,220 K
IntelCpHDCPSvc.exe            4700 Services                   0      6,032 K
svchost.exe                   4708 Services                   0     31,252 K
svchost.exe                   4720 Services                   0     34,756 K
WmiPrvSE.exe                  4728 Services                   0     12,172 K
esif_uf.exe                   4756 Services                   0      5,416 K
EvtEng.exe                    4780 Services                   0     25,068 K
svchost.exe                   4888 Services                   0     11,740 K
lkads.exe                     4984 Services                   0      9,696 K
nimxs.exe                     5044 Services                   0     24,548 K
niauth_daemon.exe             5064 Services                   0      6,992 K
LMS.exe                       5088 Services                   0     20,716 K
nisvcloc.exe                  5116 Services                   0      5,664 K
svchost.exe                   5180 Services                   0      4,268 K
svchost.exe                   5200 Services                   0      5,268 K
RegSrvc.exe                   5212 Services                   0      8,004 K
RstMwService.exe              5220 Services                   0      5,732 K
svchost.exe                   5268 Services                   0      4,536 K
WavesSysSvc64.exe             5284 Services                   0     11,032 K
MsMpEng.exe                   5320 Services                   0    699,512 K
svchost.exe                   5332 Services                   0     16,492 K
jhi_service.exe               5356 Services                   0      4,176 K
